Response one,Response two,Similarity
"1/6/82","3569",dissimilar
"27/12/1986","02/08/1979",similar
"01/30/75","3569",dissimilar
"07/dec/1987","1994",dissimilar
"march 14","june 6 1966",dissimilar
"fiftten five nineti five","01/01/1990",dissimilar
"1/1/01","03051969",dissimilar
"april 1, 1970","16th of december, 1990",dissimilar
"12/01/1989","01.04.1993",similar
"are you open for business?","12/27/1986",dissimilar
"12/22/1980","3569",dissimilar
"july 17, 1983","1984/feb",dissimilar
"8/5/1996","06/07/1990",similar
"4/4/1980","8th dec 1988",dissimilar
"09/08/1994","07/20/92",similar
"9/15/1995","6 th june",dissimilar
"03/22/1989","1/1/91",similar
"20.01.1993","12/12/1995",similar
"july 17, 1983","05-23-1992",similar
"14091990","20/11/1995",dissimilar
"fiftten five nineti five","10/27/96",dissimilar
"6 th june","28 of may 1986",dissimilar
"2/4/1979","bye bye i don't know",dissimilar
"6th may","01.04.1993",dissimilar
"13 mar 77","01-09-1976",similar
"18th september 1988","28 nov 1999",similar
"can you please help.","30.05.1987",dissimilar
"20.01.1993","12/08/1990",similar
"2nd feb 1982","1/6/82",dissimilar
"fiftten five nineti five","08/23/96",dissimilar
"02/13/1995","november 11 1991",dissimilar
"1/1/90","1987",dissimilar
"05231990","02/13/1995",dissimilar
"xxf","5/16/2007",dissimilar
"4/4/1980","06081984",dissimilar
"6/10/1967","01.04.1993",similar
"01/01/71","jan 2nd, 1990",dissimilar
"10/27/96","30.05.1987",similar
"julu 3rd 1993","july 17, 1983",dissimilar
"1/1/11","09/01/1985",similar
"6/12/1984","08/23/96",similar
"1990","november 11 1991",dissimilar
"23","08/07/1980",dissimilar
"march 14","03051969",dissimilar
"1984/feb","07/20/92",dissimilar
"01/01/1972","5th february 1995",dissimilar
"august 16th 1990","ok",dissimilar
"11/09/214","1987",dissimilar
"04-05-1992","6th may 2000",dissimilar
"june 4 1994","september 1, 1985",similar
"january 1, 1990","nov 1983",dissimilar
"18th september 1988","4/10/1993",dissimilar
"11/09/214","july 8 1990",dissimilar
"28/04/1995","01/06/1978",similar
"1994","august 16th 1990",dissimilar
"01/02/92","5/16/2007",similar
"01/01/1972","01/01/71",similar
"04-05-1992","march 14",dissimilar
"04-05-1992","3/4/88",similar
"15/02/96","xxf",dissimilar
"cvvfd","1984/feb",dissimilar
"12/12/1995","june 12 1988",dissimilar
"1990","4/18/1988",dissimilar
"03/20/1997","xxf",dissimilar
"26 november","july 8 1990",dissimilar
"27, august, 1995","xcds",dissimilar
"3/4/88","01/01/71",similar
"1-31-1982","30.05.1987",similar
"march 5th, 1974","01/30/75",dissimilar
"01/28/1998","01/01/71",similar
"april,1,1993","1/1/91",dissimilar
"01/23/88","10/23/74",similar
"i have had this pain since this weekend!","01 sep 1976",dissimilar
"6 may 2000","09/01",dissimilar
"1/1/11","01/06/1978",similar
"06/07/1990","jan 1 1977",dissimilar
"1/1/1980","november 11 1991",dissimilar
"16/08/1990","1984/feb",dissimilar
"12/22/1980","01/05/1988",similar
"august","01/01/01",dissimilar
"20/01/1993","01/06/1978",similar
"9/11/1966","20.01.1993",similar
"05/23/1990","2nd feb 1982",dissimilar
"23/06/1979","16-05-1987",similar
"27-05-1995","march 31st, 1984",dissimilar
"14091990","xxf",dissimilar
"28/04/1995","07/05/1978",similar
"fiftten five nineti five","july 3rd 1993",dissimilar
"01 sep 1976","december 17 1959",similar
"fiftten five nineti five","25-05-1995",dissimilar
