Response One,Response Two
"1/6/82","3569"
"27/12/1986","02/08/1979"
"01/30/75","3569"
"07/dec/1987","1994"
"march 14","june 6 1966"
"fiftten five nineti five","01/01/1990"
"1/1/01","03051969"
"april 1, 1970","16th of december, 1990"
"12/01/1989","01.04.1993"
"are you open for business?","12/27/1986"
"12/22/1980","3569"
"july 17, 1983","1984/feb"
"8/5/1996","06/07/1990"
"4/4/1980","8th dec 1988"
"09/08/1994","07/20/92"
"9/15/1995","6 th june"
"03/22/1989","1/1/91"
"20.01.1993","12/12/1995"
"july 17, 1983","05-23-1992"
"14091990","20/11/1995"
"fiftten five nineti five","10/27/96"
"6 th june","28 of may 1986"
"2/4/1979","bye bye i don't know"
"6th may","01.04.1993"
"13 mar 77","01-09-1976"
"18th september 1988","28 nov 1999"
"can you please help.","30.05.1987"
"20.01.1993","12/08/1990"
"2nd feb 1982","1/6/82"
"fiftten five nineti five","08/23/96"
"02/13/1995","november 11 1991"
"1/1/90","1987"
"05231990","02/13/1995"
"xxf","5/16/2007"
"4/4/1980","06081984"
"6/10/1967","01.04.1993"
"01/01/71","jan 2nd, 1990"
"10/27/96","30.05.1987"
"julu 3rd 1993","july 17, 1983"
"1/1/11","09/01/1985"
"6/12/1984","08/23/96"
"1990","november 11 1991"
"23","08/07/1980"
"march 14","03051969"
"1984/feb","07/20/92"
"01/01/1972","5th february 1995"
"august 16th 1990","ok"
"11/09/214","1987"
"04-05-1992","6th may 2000"
"june 4 1994","september 1, 1985"
"january 1, 1990","nov 1983"
"18th september 1988","4/10/1993"
"11/09/214","july 8 1990"
"28/04/1995","01/06/1978"
"1994","august 16th 1990"
"01/02/92","5/16/2007"
"01/01/1972","01/01/71"
"04-05-1992","march 14"
"04-05-1992","3/4/88"
"15/02/96","xxf"
"cvvfd","1984/feb"
"12/12/1995","june 12 1988"
"1990","4/18/1988"
"03/20/1997","xxf"
"26 november","july 8 1990"
"27, august, 1995","xcds"
"3/4/88","01/01/71"
"1-31-1982","30.05.1987"
"march 5th, 1974","01/30/75"
"01/28/1998","01/01/71"
"april,1,1993","1/1/91"
"01/23/88","10/23/74"
"i have had this pain since this weekend!","01 sep 1976"
"6 may 2000","09/01"
"1/1/11","01/06/1978"
"06/07/1990","jan 1 1977"
"1/1/1980","november 11 1991"
"16/08/1990","1984/feb"
"12/22/1980","01/05/1988"
"august","01/01/01"
"20/01/1993","01/06/1978"
"9/11/1966","20.01.1993"
"05/23/1990","2nd feb 1982"
"23/06/1979","16-05-1987"
"27-05-1995","march 31st, 1984"
"14091990","xxf"
"28/04/1995","07/05/1978"
"fiftten five nineti five","july 3rd 1993"
"01 sep 1976","december 17 1959"
"fiftten five nineti five","25-05-1995"
"01/28/1998","28 nov 1999"
"august 15 1990","11/09/214"
"march 5th, 1974","november 16"
"1/2/1977","25.05.1995"
"9/11/1966","1987"
"10/27/96","july 24 1991"
"23/08/1990","1990"
"january 1, 1995","07/20/92"
"15/02/96","01/01/71"
"16/08/1990","4/18/1988"
"are you open for business?","01-09-1976"
"11101986","01 sep 1976"
"can you please help.","january 1, 1950"
"30.05.1987","july 8 1990"
"nov 11 1980","june 4 1994"
"23/06/1979","1st january 1986"
"01 sep 1976","1/1/91"
"1/1/1980","25.05.1995"
"april 1, 1970","1/1/11"
"05231990","bye bye i don't know"
"01/01/1965","01-09-1976"
"27, august, 1995","25.05.1995"
"06/24/1988","1987"
"01/01/1990","1st january 1986"
"12/01/1989","14/9/1990"
"06081984","march 5 1969"
"15/08/90","01/01/01"
"08/23/96","02/13/1995"
"january 1, 1950","july 8 1990"
"15/08/90","05/08/1997"
"january 1, 1995","1995"
"my feet smells very bad","7/8/1992"
"07/dec/1987","november 16"
"july 24 1991","jan 1 1977"
"2/4/1979","05/30/1987"
"june 12 1988","august 16th 1990"
"23-9-1995","july 24 1991"
"28/04/1995","06/07/1990"
"04-05-1992","julu 3rd 1993"
"my feet smells very bad","16th of december, 1990"
"1-31-1982","1994"
"3/4/88","august 16th 1990"
"23","01-09-1976"
"november 16","1994"
"10/27/96","april 12th, 1980"
"9/11/1966","28 nov 1999"
"6/12/1984","nov 1983"
"06/23/79","07/05/1978"
"01011990","10/01/97"
"04/28/1995","6/10/1967"
"07/dec/1987","14-09-1990"
"05231990","8th dec 1988"
"nov 11 1980","c"
"august","11101986"
"bye bye i don't know","26 november"
"march 15 1979","cvvfd"
"23-9-1995","05/30/1987"
"1st january 1986","1/1/1901"
"3/4/88","feb 23 1993"
"27-05-1995","6th may"
"28/04/1995","26 november"
"jan 1 1977","september 1, 1985"
"january 1, 1990","julu 3rd 1993"
"1/1/1980","01/01/71"
"january 1st 1990","28 of may 1986"
"april 3rd, 1966","1987"
"09/01/1985","23-9-1995"
"04/28/1995","ok"
"07/05/1978","3/4/88"
"6/10/1967","02/21/1986"
"7/8/1992","01.04.1993"
"04/15/80","15th april 1980"
"2nd feb 1982","1/1/1901"
"01/28/1998","1987"
"12/22/1980","30"
"05/23/1990","01/01/01"
"20.01.1993","01/01/71"
"01/01/1965","march 31st, 1984"
"feb 19 1963","14-sep-1990"
"june 4 1994","1995"
"can you please help.","26/11/1991"
"13 mar 77","02/21/1986"
"08/23/96","6 may 2000"
"july 3rd 1993","01/05/1988"
"05-23-1992","16-05-1987"
"25-05-1995","20/11/1995"
"23/08/1990","01/02/92"
"15 feb 1996","02/21/1986"
"6 th june","september 1, 1985"
"01/01/1990","05231919"
"12/12/1995","1/2/1977"
"27/12/1986","8/5/1996"
"28/04/1995","01/23/88"
"09/08/1994","xcds"
"04-05-1992","jan 2nd, 1990"
"07/dec/1987","feb 23 1993"
"august 15 1990","jan 2nd, 1990"
"09/01/1985","cvvfd"
"01 sep 1976","4/18/1988"
"23","16/08/1990"
"23/06/1979","09/08/1994"
"07/dec/1987","11101986"
"are you open for business?","6th may 2000"
"2/4/1979","3/4/88"
"march 14","09/01"
"16/08/1990","04/03/1985"
"01/30/75","10/01/97"
"01/28/1998","01 sep 1976"
"23/08/1990","april 12th, 1980"
"01/23/88","09/01/1985"
"01/01/01","20/11/1995"
"8/5/1996","april 12th, 1980"
"december 17 1959","30"
"july 24 1991","07/20/92"
"01/05/1988","xxf"
"8th dec 1988","ok"
"august 15 1990","jan 2nd, 1990"
"september 5th 1987","4/10/1993"
"05231990","23 september 1990"
"c","july 8 1990"
"9/12/84","july 8 1990"
"23/06/1979","july 17, 1983"
"2/4/1979","9/11/1966"
"20/01/1993","03051969"
"01/30/75","c"
"8/5/1996","4/18/1988"
"1987","1/1/91"
"1/1/1980","1st july 1994"
"04/28/1995","22/8/1995"
"july 17, 1983","01.01.1981"
"2/4/1979","1/1/71"
"march 15 1979","12/22/1980"
"1/21/1972","25-05-1995"
"can you please help.","3/4/88"
"feb 19 1963","july 17, 1983"
"15/02/96","6 th june"
"6 may 2000","1/1/91"
"6/12/1984","1995"
"1/1/11","01/21/1981"
"8/17/93","09/08/1994"
"05231990","april 1 1970"
"8/17/93","05/23/1990"
"06/23/79","01 sep 1976"
"6th may","march 31st, 1984"
"23/08/1990","november 11 1991"
"15/02/96","9/11/1966"
"7/8/1992","xxf"
"09/01","10/23/74"
"04/03/1985","july 8 1990"
"02/21/1986","1/1/1980"
"12/12/1995","1990"
"15/02/96","20/01/1993"
"01/02/1995","feb 23 1993"
"1/1/50","august 16th 1990"
"03/20/1997","9/12/84"
"09/01","nov 1983"
"7th of july 1984","09/01"
"15 feb 1996","09/01/1985"
"9/11/1966","11101986"
"april,1,1993","02/13/1995"
"1-31-1982","7/8/1992"
"june 12 1988","8th dec 1988"
"14091990","1st july 1994"
"january 1, 1990","01/01/01"
"9/12/84","07/20/92"
"11101986","01/30/75"
"15/04/1980","june 6 1966"
"03/20/1997","june 4 1994"
"07/05/1978","01/21/1981"
"03/20/1997","06081984"
"01/23/88","5-2-1995"
"6 th june","june 4 1994"
"i have had this pain since this weekend!","august 16th 1990"
"22/8/1995","28 nov 1999"
"1/1/1980","7/8/1992"
"can you please help.","16-05-1987"
"04-05-1992","01/01/71"
"12/12/1995","06081984"
"27-05-1995","04/03/1985"
"september 5th 1987","01.04.1993"
"ok","3569"
"15/08/90","august 15 1990"
"27, august, 1995","feb 23 1993"
"april 12th, 1980","03051969"
"2/4/1979","1/2/1977"
"23/06/1979","julu 3rd 1993"
"04-05-1992","1/2/1977"
"23/08/1990","4/10/1993"
"01/23/88","27, august, 1995"
"02/08/1979","04/03/1985"
"september 5th 1987","9/12/84"
"07/05/1978","15th april 1980"
"03/20/1997","14091990"
"january 1, 1990","august 15 1990"
