Response One	Response Two	Similarity
1/6/82	3569	dissimilar
27/12/1986	2/8/79	similar
1/30/75	3569	dissimilar
7-Dec-87	1994	dissimilar
14-Mar	june 6 1966	dissimilar
fiftten five nineti five	1/1/90	dissimilar
1/1/01	3051969	dissimilar
1-Apr-70	"16th of december, 1990"	dissimilar
12/1/89	01.04.1993	similar
are you open for business?	12/27/86	dissimilar
12/22/80	3569	dissimilar
17-Jul-83	1984/feb	dissimilar
8/5/96	6/7/90	similar
4/4/80	8th dec 1988	dissimilar
9/8/94	7/20/92	similar
9/15/95	6 th june	dissimilar
3/22/89	1/1/91	similar
20.01.1993	12/12/95	similar
17-Jul-83	5/23/92	similar
14091990	20/11/1995	dissimilar
fiftten five nineti five	10/27/96	dissimilar
6 th june	28 of may 1986	dissimilar
2/4/79	bye bye i don't know	dissimilar
6th may	01.04.1993	dissimilar
13-Mar-77	1/9/76	similar
18th september 1988	28-Nov-99	similar
can you please help.	30.05.1987	dissimilar
20.01.1993	12/8/90	similar
2nd feb 1982	1/6/82	dissimilar
fiftten five nineti five	8/23/96	dissimilar
2/13/95	november 11 1991	dissimilar
1/1/90	1987	dissimilar
5231990	2/13/95	dissimilar
xxf	5/16/07	dissimilar
4/4/80	6081984	dissimilar
6/10/67	01.04.1993	similar
1/1/71	"jan 2nd, 1990"	dissimilar
10/27/96	30.05.1987	similar
julu 3rd 1993	17-Jul-83	dissimilar
1/1/11	9/1/85	similar
6/12/84	8/23/96	similar
1990	november 11 1991	dissimilar
23	8/7/80	dissimilar
14-Mar	3051969	dissimilar
1984/feb	7/20/92	dissimilar
1/1/72	5th february 1995	dissimilar
august 16th 1990	ok	dissimilar
11/09/214	1987	dissimilar
4/5/92	6th may 2000	dissimilar
june 4 1994	1-Sep-85	similar
1-Jan-90	Nov-83	dissimilar
18th september 1988	4/10/93	dissimilar
11/09/214	july 8 1990	dissimilar
28/04/1995	1/6/78	similar
1994	august 16th 1990	dissimilar
1/2/92	5/16/07	similar
1/1/72	1/1/71	similar
4/5/92	14-Mar	dissimilar
4/5/92	3/4/88	similar
15/02/96	xxf	dissimilar
cvvfd	1984/feb	dissimilar
12/12/95	june 12 1988	dissimilar
1990	4/18/88	dissimilar
3/20/97	xxf	dissimilar
26-Nov	july 8 1990	dissimilar
"27, august, 1995"	xcds	dissimilar
3/4/88	1/1/71	similar
1/31/82	30.05.1987	similar
"march 5th, 1974"	1/30/75	dissimilar
1/28/98	1/1/71	similar
"april,1,1993"	1/1/91	dissimilar
1/23/88	10/23/74	similar
i have had this pain since this weekend!	1-Sep-76	dissimilar
6-May-00	1-Sep	dissimilar
1/1/11	1/6/78	similar
6/7/90	jan 1 1977	dissimilar
1/1/80	november 11 1991	dissimilar
