Response,Length,Number of Tokens,Number of Letter,Number of Digits,datetime,phone_number,isValid
"3051969",7,1,0,7,0,0.954395,"Invalid"
"c",1,1,1,0,0,0,"Invalid"
"1990",4,1,0,4,0.9616,0,"Invalid"
"1966",4,1,0,4,0.960465,0,"Invalid"
"cvvfd",5,1,5,0,0,0,"Invalid"
"are you open for business?",26,5,21,0,0,0,"Invalid"
"27",2,1,0,2,0,0,"Invalid"
"xcds",4,1,4,0,0,0,"Invalid"
"1990",4,1,0,4,0.9616,0,"Invalid"
"1",1,1,0,1,0,0,"Invalid"
"august",6,1,6,0,0.966465,0,"Invalid"
"ok",2,1,2,0,0,0,"Invalid"
"1990",4,1,0,4,0.9616,0,"Invalid"
"april",5,1,5,0,0.965705,0,"Invalid"
"30",2,1,0,2,0,0,"Invalid"
"5231919",7,1,0,7,0,0.954395,"Invalid"
"6081984",7,1,0,7,0,0.954395,"Invalid"
"bye bye i don't know",20,6,15,0,0,0,"Invalid"
"3569",4,1,0,4,0,0,"Invalid"
"xxf",3,1,3,0,0,0,"Invalid"
"my feet smells very bad",23,5,19,0,0,0,"Invalid"
"1990",4,1,0,4,0.9616,0,"Invalid"
"1993",4,1,0,4,0.961415,0,"Invalid"
"1995",4,1,0,4,0.958835,0,"Invalid"
"1970",4,1,0,4,0.961185,0,"Invalid"
"1984/feb",8,2,3,4,1.0,0,"Invalid"
"23",2,1,0,2,0,0,"Invalid"
"1980",4,1,0,4,0.96102,0,"Invalid"
"1985",4,1,0,4,0.96043,0,"Invalid"
"1987",4,1,0,4,0.961625,0,"Invalid"
"1011986",7,1,0,7,0,0.954395,"Invalid"
"26-Nov",6,2,3,2,0.96517333333333,0,"Invalid"
"1995",4,1,0,4,0.958835,0,"Invalid"
"1987",4,1,0,4,0.961625,0,"Invalid"
"1-Jan",5,2,3,1,0.965705,0,"Invalid"
"1950",4,1,0,4,0.958435,0,"Invalid"
"11101986",8,1,0,8,0,0.954395,"Invalid"
"1984",4,1,0,4,0.95915,0,"Invalid"
"14091990",8,1,0,8,0,0.954395,"Invalid"
"6th may",7,2,5,1,0.9669,0,"Invalid"
"fiftten five nineti five",24,4,21,0,0,0,"Invalid"
"16-Nov",6,2,3,2,0.96557333333333,0,"Invalid"
"1-Sep",5,2,3,1,0.96682333333333,0,"Invalid"
"march 31st",10,2,7,2,0.9647975,0,"Invalid"
"1990",4,1,0,4,0.9616,0,"Invalid"
"april 3rd",9,2,7,1,0.96581,0,"Invalid"
"1/1/2001",8,3,0,6,0.966624,0,"Valid"
"5231990",7,1,0,7,0,0.954395,"Invalid"
"1994",4,1,0,4,0.961695,0,"Invalid"
"4/3/1985",8,3,0,6,0.966704,0,"Valid"
"its 2nd of may 1992",19,5,10,5,0.96711125,0,"Valid"
"30.05.1987",10,3,0,8,0,1.0,"Valid"
"5/23/1990",9,3,0,7,0.965367,0,"Valid"
"6/7/1990",8,3,0,6,0.966596,0,"Valid"
"8/7/1980",8,3,0,6,0.966027,0,"Valid"
"30/05/1987",10,3,0,8,1.0,0,"Valid"
"16-05-1987",10,3,0,8,0,1.0,"Valid"
"6 th june",9,3,6,1,0.96477666666667,0,"Valid"
"9/1/1985",8,3,0,6,0.966255,0,"Valid"
"1/9/1976",8,3,0,6,0.966379,0,"Valid"
"june 12 1988",12,3,4,6,0.96660833333333,0,"Valid"
"16/08/1990",10,3,0,8,1.0,0,"Valid"
"27/12/1986",10,3,0,8,1.0,0,"Valid"
"1/1/1950",8,3,0,6,0.966744,0,"Valid"
"2/13/1995",9,3,0,7,0.96574,0,"Valid"
"10/1/1997",9,3,0,7,0.96411,0,"Valid"
"01.01.1981",10,3,0,8,0.925745,0,"Valid"
"14/9/1990",9,3,0,7,1.0,0,"Valid"
"july 8 1990",11,3,4,5,0.96678,0,"Valid"
"2nd feb 1982",12,3,5,5,0.96642666666667,0,"Valid"
"15.05.1994",10,3,0,8,0,1.0,"Valid"
"3/22/1989",9,3,0,7,0.96575,0,"Valid"
"25-05-1995",10,3,0,8,0,1.0,"Valid"
"9/12/1984",9,3,0,7,0.965266,0,"Valid"
"14-09-1990",10,3,0,8,0,1.0,"Valid"
"5/30/1987",9,3,0,7,0.96538,0,"Valid"
"august 15 1990",14,3,6,6,0.96724166666667,0,"Valid"
"5/16/2007",9,3,0,7,0.965305,0,"Valid"
"27-05-1995",10,3,0,8,0,1.0,"Valid"
"20.01.1993",10,3,0,8,0,1.0,"Valid"
"8th dec 1988",12,3,5,5,0.96715,0,"Valid"
"4/15/1980",9,3,0,7,0.965981,0,"Valid"
